2025-09-26T10:54:31.212Z | unknown | LOGIN_FAILED | Invalid password for: admin | ip=172.31.76.66
2025-09-26T12:23:11.449Z | 22-00375 | CAST_VOTE | Vote cast in election: election_engineering2025 | ip=127.0.0.1
2025-09-26T12:23:21.615Z | 22-00375 | CAST_VOTE | Vote cast in election: election_leadership2025 | ip=127.0.0.1
2025-09-26T12:28:30.152Z | 22-00375 | LOGOUT | User logged out: 22-00375 | ip=127.0.0.1
2025-09-26T12:28:54.344Z | 22-00374 | SIGNUP_SUCCESS | Student registered: 22-00374 | ip=127.0.0.1
2025-09-26T12:32:51.959Z | 22-00374 | LOGOUT | User logged out: 22-00374 | ip=127.0.0.1
2025-09-26T12:33:02.020Z | unknown | LOGIN_FAILED | Invalid student ID: ADMIN001 | ip=127.0.0.1
2025-09-26T12:33:05.945Z | unknown | LOGIN_FAILED | Invalid student ID: ADMIN001 | ip=127.0.0.1
2025-09-26T12:43:03.324Z | unknown | LOGIN_FAILED | Invalid password for: admin2025 | ip=127.0.0.1
2025-09-26T12:46:33.446Z | unknown | LOGIN_FAILED | Invalid password for: admin2025 | ip=127.0.0.1
2025-09-26T12:46:43.321Z | unknown | LOGIN_FAILED | Invalid password for: admin2025 | ip=127.0.0.1
2025-09-26T12:48:15.646Z | unknown | LOGIN_FAILED | Invalid password for: admin2025 | ip=127.0.0.1
2025-09-26T12:52:34.671Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T12:52:51.047Z | admin2025 | LOGOUT | User logged out: admin2025 | ip=127.0.0.1
2025-09-26T12:52:59.924Z | unknown | LOGIN_FAILED | Invalid password for: admin2025 | ip=127.0.0.1
2025-09-26T12:53:14.769Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T13:01:50.110Z | admin2025 | LOGOUT | User logged out: admin2025 | ip=127.0.0.1
2025-09-26T13:03:38.167Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T13:19:02.012Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T13:33:41.529Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T13:39:49.022Z | unknown | LOGIN_FAILED | Invalid password for: admin2025 | ip=127.0.0.1
2025-09-26T13:39:55.445Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T13:52:29.810Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T13:54:28.135Z | admin2025 | LOGOUT | User logged out: admin2025 | ip=127.0.0.1
2025-09-26T13:54:36.237Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T13:58:36.001Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T14:03:21.403Z | admin2025 | LOGIN_SUCCESS | User logged in: admin2025 | ip=127.0.0.1
2025-09-26T14:07:57.509Z | admin2025 | CREATE_ANNOUNCEMENT | Created announcement: 405fd924-0b2c-455d-9261-23aa8930332e | ip=127.0.0.1
2025-09-26T14:08:10.361Z | admin2025 | LOGOUT | User logged out: admin2025 | ip=127.0.0.1
2025-09-26T14:08:22.700Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T14:09:16.608Z | 22-00376 | LOGOUT | User logged out: 22-00376 | ip=127.0.0.1
2025-09-26T14:09:35.274Z | 22-00374 | LOGIN_SUCCESS | User logged in: 22-00374 | ip=127.0.0.1
2025-09-26T14:10:19.436Z | 22-00374 | CAST_VOTE | Vote cast in election: election_engineering2025 | ip=127.0.0.1
2025-09-26T14:10:53.132Z | 22-00374 | LOGOUT | User logged out: 22-00374 | ip=127.0.0.1
2025-09-26T14:58:47.967Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T15:05:43.072Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T15:05:52.869Z | 22-00376 | LOGOUT | User logged out: 22-00376 | ip=127.0.0.1
